[2026-03-29 21:33:45] Min FPS: 9.4 | Max FPS: 17.9
[2026-03-29 21:33:55] Min FPS: 9.3 | Max FPS: 18.2
[2026-03-29 21:34:05] Min FPS: 8.9 | Max FPS: 18.2
[2026-03-29 21:34:15] Min FPS: 7.2 | Max FPS: 17.9
[2026-03-29 21:34:25] Min FPS: 6.6 | Max FPS: 18.2
[2026-03-29 21:34:35] Min FPS: 7.5 | Max FPS: 18.2
[2026-03-29 21:34:45] Min FPS: 6.9 | Max FPS: 17.5
[2026-03-29 21:34:55] Min FPS: 7.1 | Max FPS: 17.5
[2026-03-29 21:35:05] Min FPS: 8.9 | Max FPS: 17.5
[2026-03-29 21:35:15] Min FPS: 7.4 | Max FPS: 17.2
[2026-03-29 21:35:25] Min FPS: 7.2 | Max FPS: 17.2
[2026-03-29 21:35:35] Min FPS: 6.5 | Max FPS: 45.5
[2026-03-29 21:35:45] Min FPS: 6.8 | Max FPS: 40.0
[2026-03-29 21:35:55] Min FPS: 7.5 | Max FPS: 17.2
[2026-03-29 21:36:05] Min FPS: 7.2 | Max FPS: 17.2
[2026-03-29 21:36:15] Min FPS: 8.5 | Max FPS: 17.2
[2026-03-29 21:36:25] Min FPS: 8.0 | Max FPS: 18.5
[2026-03-29 21:36:35] Min FPS: 6.8 | Max FPS: 17.2
[2026-03-29 21:36:45] Min FPS: 8.5 | Max FPS: 17.2
[2026-03-29 21:36:55] Min FPS: 8.0 | Max FPS: 18.2
[2026-03-29 21:37:05] Min FPS: 7.7 | Max FPS: 17.5
[2026-03-29 21:37:15] Min FPS: 8.8 | Max FPS: 17.9
[2026-03-29 21:37:26] Min FPS: 9.2 | Max FPS: 17.2
[2026-03-29 21:37:36] Min FPS: 7.4 | Max FPS: 17.2
[2026-03-29 21:37:46] Min FPS: 8.4 | Max FPS: 18.2
[2026-03-29 21:37:56] Min FPS: 7.5 | Max FPS: 17.9
[2026-03-29 21:38:06] Min FPS: 8.0 | Max FPS: 17.5
[2026-03-29 21:38:16] Min FPS: 7.5 | Max FPS: 16.9
[2026-03-29 21:38:26] Min FPS: 7.1 | Max FPS: 17.9
[2026-03-29 21:38:36] Min FPS: 8.9 | Max FPS: 18.2
[2026-03-29 21:38:46] Min FPS: 7.1 | Max FPS: 18.2
[2026-03-29 21:38:56] Min FPS: 6.6 | Max FPS: 17.9
[2026-03-29 21:39:06] Min FPS: 7.8 | Max FPS: 17.5
[2026-03-29 21:39:16] Min FPS: 6.9 | Max FPS: 16.9
[2026-03-29 21:39:26] Min FPS: 7.2 | Max FPS: 17.2
[2026-03-29 21:39:36] Min FPS: 8.9 | Max FPS: 18.2
[2026-03-29 21:39:46] Min FPS: 7.2 | Max FPS: 17.5
[2026-03-29 21:39:56] Min FPS: 7.1 | Max FPS: 17.5
[2026-03-29 21:40:06] Min FPS: 8.3 | Max FPS: 17.9
[2026-03-29 21:40:16] Min FPS: 7.3 | Max FPS: 18.9
[2026-03-29 21:40:26] Min FPS: 7.5 | Max FPS: 17.9
[2026-03-29 21:40:36] Min FPS: 6.9 | Max FPS: 16.9
[2026-03-29 21:40:46] Min FPS: 7.5 | Max FPS: 18.2
[2026-03-29 21:40:56] Min FPS: 8.1 | Max FPS: 17.9
[2026-03-29 21:41:06] Min FPS: 7.4 | Max FPS: 17.5
[2026-03-29 21:41:16] Min FPS: 7.2 | Max FPS: 17.5
[2026-03-29 21:41:26] Min FPS: 8.0 | Max FPS: 17.2
[2026-03-29 21:41:37] Min FPS: 8.9 | Max FPS: 17.5
[2026-03-29 21:41:47] Min FPS: 7.4 | Max FPS: 16.9
[2026-03-29 21:41:57] Min FPS: 9.0 | Max FPS: 17.9
[2026-03-29 21:42:07] Min FPS: 7.5 | Max FPS: 18.9
[2026-03-29 21:42:17] Min FPS: 6.4 | Max FPS: 17.9
[2026-03-29 21:42:27] Min FPS: 9.6 | Max FPS: 17.5
[2026-03-29 21:42:37] Min FPS: 8.5 | Max FPS: 17.5
[2026-03-29 21:42:47] Min FPS: 7.6 | Max FPS: 17.9
[2026-03-29 21:42:57] Min FPS: 7.1 | Max FPS: 17.5
[2026-03-29 21:43:07] Min FPS: 7.3 | Max FPS: 18.5
[2026-03-29 21:43:17] Min FPS: 8.7 | Max FPS: 17.9
